broker,test,qos,recv,latency_avg_ms,throughput_avg_msg_s,cpu_avg_percent,mem_avg_MB
rumqttd,fanout_qos1,1,1167700,1.8561038777960868,23354.0,64.87275167785235,11.401744966442953
rumqttd,p2p_qos2,2,403728,28.30946235813398,8074.56,95.8708843537415,112.05171428571428
rumqttd,p2p_qos0,0,1156904,2.257322773215194,23138.08,88.64635135135136,286.38471621621625
rumqttd,p2p_qos1,1,740783,7.730945046679411,14815.66,105.375,191.0061891891892
rmqtt,fanin_qos1,1,1158990,7.6023456495910695,23179.8,124.63527027027027,21.392432432432432
rmqtt,fanout_qos1,1,1166660,1.7878327074420346,23333.2,77.94445945945947,22.100945945945945
rmqtt,p2p_qos2,2,797757,10.20537926123542,15955.14,163.61657718120804,24.61791946308725
rmqtt,p2p_qos0,0,1156144,1.0935591789351486,23122.88,110.57600000000001,22.62
rmqtt,p2p_qos1,1,1158269,2.291612389343934,23165.38,156.12348993288592,24.222483221476512
nanomq,fanin_qos1,1,773502,131.5683762070187,15470.04,131.29342281879195,39.7184
nanomq,fanout_qos1,1,1167289,1.8096412091553455,23345.78,89.52229729729729,2.784492537313433
nanomq,p2p_qos2,2,569979,19.903290000140387,11399.58,152.2818918918919,4.515238805970149
nanomq,p2p_qos0,0,1157149,1.3729860498114952,23142.98,109.16644295302012,4.078268456375839
nanomq,p2p_qos1,1,998605,11.48455189826202,19972.1,151.41027397260274,4.505462686567164
emqx,fanin_qos1,1,1087134,23.540530214453664,21742.68,276.3016783216783,386.88601398601395
emqx,fanout_qos1,1,1167900,2.2754973685608575,23358.0,234.79089655172413,343.7558620689655
emqx,p2p_qos2,2,466892,19.502551085978666,9337.84,260.4843055555555,447.21527777777777
emqx,p2p_qos0,0,1157470,15.669905902391456,23149.4,219.52115646258503,448.1074829931973
emqx,p2p_qos1,1,764616,8.872089364587241,15292.32,257.7709090909091,451.4881118881119
mosquitto,fanin_qos1,1,1094837,5.707732416444082,21896.74,79.06125,273.03695833333336
mosquitto,fanout_qos1,1,1168307,1.7477519108757555,23366.14,50.00408450704225,17.89718309859155
mosquitto,p2p_qos2,2,410512,32.016154962925434,8210.24,74.79222222222222,8.082722222222223
mosquitto,p2p_qos0,0,1158003,1.2916895819603413,23160.06,62.16534246575342,7.535863013698631
mosquitto,p2p_qos1,1,882454,6.5372752741154105,17649.08,85.45181818181818,8.108699300699302
rumqttd,fanin_qos1,1,1158479,2.697176684091544,23169.58,99.47048951048951,
rumqttd,fanout_qos1,1,1168200,1.7885359148869455,23364.0,66.38205479452056,
rumqttd,p2p_qos2,2,462777,24.899502134942175,9255.54,112.89328767123288,
rumqttd,p2p_qos0,0,1155433,1.87040529682582,23108.66,90.48068493150686,291.95976712328763
